,cityid,cityname,stateabbrev,statename,statefips,city_pop2019,year,month,day,case_count,new_case_count,case_rate,new_case_rate,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
1191,21,San Francisco,CA,California,6,881549,2020,8,28,9218,66,1046.0,8.31,-0.5770000000000001,-0.29,-0.253,-0.667,-0.5529999999999999,0.22399999999999998,-0.265
1392,25,Boston,MA,Massachusetts,25,803907,2020,8,28,23261,107,2893.0,10.1,-0.34299999999999997,-0.16399999999999998,0.519,-0.594,-0.436,0.11699999999999999,-0.132
1593,28,Denver,CO,Colorado,8,727211,2020,8,28,11147,70,1533.0,7.03,-0.263,-0.0529,0.483,-0.456,-0.376,0.0971,-0.11
1794,38,Miami,FL,Florida,12,2716940,2020,8,28,155417,661,5720.0,26.9,-0.293,-0.166,-0.39299999999999996,-0.507,-0.33399999999999996,0.121,-0.146
1995,48,Honolulu,HI,Hawaii,15,974563,2020,8,28,7147,232,733.0,23.5,-0.373,-0.196,-0.5489999999999999,-0.611,-0.36700000000000005,0.161,-0.196
185,1,Los Angeles,CA,California,6,10039107,2020,8,27,236986,1600,2361.0,13.7,-0.304,-0.126,-0.0514,-0.41100000000000003,-0.36,0.124,-0.14800000000000002
386,2,New York City,NY,New York,36,8336817,2020,8,27,237838,313,2853.0,3.18,-0.27399999999999997,-0.10300000000000001,0.7090000000000001,-0.41200000000000003,-0.415,0.109,-0.122
587,7,Dallas,TX,Texas,48,2635516,2020,8,27,72627,0,2756.0,17.8,-0.174,-0.1,0.214,-0.311,-0.341,0.0929,-0.107
788,9,Seattle,WA,Washington,53,2252782,2020,8,27,19196,128,852.0,5.48,-0.261,-0.11900000000000001,0.7829999999999999,-0.5,-0.457,0.134,-0.15
989,13,Detroit,MI,Michigan,26,1749343,2020,8,27,30845,225,1763.0,9.78,-0.0986,-0.0771,,-0.307,-0.326,0.0586,-0.0617
